Station,Year,승차총승객수,하차총승객수
Seolleung,2023,50061.82192,44083.05205
Seolleung,2024,50773.55839,44648.22993
Seongsu,2019,28685.31781,31124.56986
Seongsu,2020,25190.21585,27741.81148
Seongsu,2021,27768.59726,30412.83562
Seongsu,2022,32206.2274,35332.65479
Seongsu,2023,36987.43288,40737.0137
Seongsu,2024,40367.30292,44364.70073
City Hall,2019,25554.96986,24224.69315
City Hall,2020,17783.79235,17383.77049
City Hall,2021,17175.34247,16367.38356
City Hall,2022,19933.09863,18949.94521
City Hall,2023,23470.05205,21989.45205
City Hall,2024,23958.79562,22485.96715
Sindap,2019,1603.328767,1760.482192
Sindap,2020,1263.838798,1416.139344
Sindap,2021,1298.852055,1485.564384
Sindap,2022,1474.542466,1628.424658
Sindap,2023,1550.715068,1708.589041
Sindap,2024,1535.193431,1683.740876
Sindang,2019,15046.41096,15587.27123
Sindang,2020,11465.32514,11783.11475
Sindang,2021,11541.94795,11990.89589
Sindang,2022,12718.43836,13197.64932
Sindang,2023,13946.26301,14624.26575
Sindang,2024,14216.12774,14968.87591
Sindaebang,2019,28907.38904,27576.5863
Sindaebang,2020,22272.05738,21342.92077
Sindaebang,2021,22060.7863,21487.97808
Sindaebang,2022,23401.12055,22668.27397
Sindaebang,2023,24463.31507,23606.41918
Sindaebang,2024,24281.58759,23412.62044
Sindorim,2019,58899.70959,58541.75342
Sindorim,2020,41587.8388,40956.28415
Sindorim,2021,40359.39452,39681.96712
Sindorim,2022,43743.69041,43767.00274
Sindorim,2023,47547.76164,46837.76438
Sindorim,2024,48535.56934,47633.42701
Sillim,2019,70358.50411,68409.87671
Sillim,2020,54015.55738,52096.64208
Sillim,2021,52800.33699,51294.16438
Sillim,2022,54648.10685,52706.89589
Sillim,2023,53230.63288,51072.87671
Sillim,2024,52439.90511,50491.64234
Sinseol-dong,2019,4351.660274,4173.30137
Sinseol-dong,2020,2895.31694,2847.166667
Sinseol-dong,2021,2899.073973,2815.389041
Sinseol-dong,2022,3362.665753,3222.038356
Sinseol-dong,2023,3635.216438,3560.558904
Sinseol-dong,2024,3681.733577,3588.277372
Sinjeongnegeori,2019,10004.39178,10281.64384
Sinjeongnegeori,2020,7808.778689,8049.726776
Sinjeongnegeori,2021,8454.205479,8732.126027
Sinjeongnegeori,2022,9230.084932,9429.605479
Sinjeongnegeori,2023,9748.035616,10033.03562
Sinjeongnegeori,2024,9689.649635,9958.036496
Sinchon,2019,47341.37534,48405.92603
Sinchon,2020,28481.00273,29503.5765
Sinchon,2021,27122.89315,27714.66849
Sinchon,2022,32580.43014,32996.12603
Sinchon,2023,37105.8411,37565.66027
Sinchon,2024,36987.57299,37718.05474
Ahyeon,2019,10883.48767,10461.10959
Ahyeon,2020,8050.532787,7682.308743
Ahyeon,2021,8548.769863,8244.50137
Ahyeon,2022,9380.791781,8918.20274
Ahyeon,2023,10322.83014,9641.405479
Ahyeon,2024,10402.86131,9669.912409
Yangcheon-gu Office,2019,7229.665753,7535.671233
Yangcheon-gu Office,2020,5373.759563,5620.923497
Yangcheon-gu Office,2021,5501.079452,5812.471233
Yangcheon-gu Office,2022,6082.29863,6265.769863
Yangcheon-gu Office,2023,6512.632877,6804.786301
Yangcheon-gu Office,2024,6424.620438,6726.642336
Yeoksam,2019,46966.42466,52229.50411
Yeoksam,2020,37466.75956,41436.4235
Yeoksam,2021,37830.55616,41632.52329
Yeoksam,2022,41749.72055,46849.5863
Yeoksam,2023,44717.99726,50591.98356
Yeoksam,2024,44687.9854,50670.81022
Yeongdeungpo-gu Office,2019,21931.64658,22219.71233
Yeongdeungpo-gu Office,2020,17899.39617,18177.85246
Yeongdeungpo-gu Office,2021,18162.78904,18409.19178
Yeongdeungpo-gu Office,2022,18811.4137,19461.7863
Yeongdeungpo-gu Office,2023,19797.0411,20333.8411
Yeongdeungpo-gu Office,2024,20526.31387,21100.4854
Wangsimni,2019,19893.82466,16261.61918
Wangsimni,2020,13477.53825,11253.80328
Wangsimni,2021,13235.95068,10950.96164
Wangsimni,2022,15043.85753,12640.89589
Wangsimni,2023,15260.86849,13435.83014
Wangsimni,2024,15190.75547,13777.78467
Yongdap,2019,2773.243836,2805.142466
Yongdap,2020,2142.153005,2084.945355
Yongdap,2021,2276.556164,2260.989041
Yongdap,2022,2682.690411,2685.010959
Yongdap,2023,2812.690411,2798.038356
Yongdap,2024,2856.153285,2829.306569
Yongdu,2019,2408.657534,2481.364384
Yongdu,2020,1878.038251,1955.418033
Yongdu,2021,1954.613699,2002.032877
Yongdu,2022,2124.180822,2133.139726
Yongdu,2023,2318.153425,2298.224658
Yongdu,2024,2381.952555,2404.919708
Euljiro 3(sam)-ga,2019,22979.41644,22817.53151
Euljiro 3(sam)-ga,2020,16255.37158,16227.53825
Euljiro 3(sam)-ga,2021,16532.74521,16357.73151
Euljiro 3(sam)-ga,2022,19603.53699,19627.71507
Euljiro 3(sam)-ga,2023,22572.1589,22303.12603
Euljiro 3(sam)-ga,2024,23171.0219,22983.5146
Euljiro 4(sa)-ga,2019,12476.2,12469.54795
Euljiro 4(sa)-ga,2020,10051.53825,9969.896175
Euljiro 4(sa)-ga,2021,9991.624658,9900.287671
Euljiro 4(sa)-ga,2022,11190.96438,11256.82192
Euljiro 4(sa)-ga,2023,12860.61644,13040.72055
Euljiro 4(sa)-ga,2024,13040.73723,13087.71898
Euljiro 1(il)-ga,2019,50695.43562,50288.23288
Euljiro 1(il)-ga,2020,31342.04372,31854.8224
Euljiro 1(il)-ga,2021,29769.99452,30091.49863
Euljiro 1(il)-ga,2022,35698.44932,36332.24384
Euljiro 1(il)-ga,2023,44178.91233,44959.2137
Euljiro 1(il)-ga,2024,45474.22628,46347.56204
Ewha Womans Univ.,2019,19843.51507,21013.36986
Ewha Womans Univ.,2020,10158.45082,10549.04098
Ewha Womans Univ.,2021,10392.94247,10878.34521
Ewha Womans Univ.,2022,13043.62192,13880.73973
Ewha Womans Univ.,2023,15541.25753,16818.12329
Ewha Womans Univ.,2024,15703.64964,17173.78467
Jamsil,2019,86771.76986,83485.56438
Jamsil,2020,55960.0082,54753.97814
Jamsil,2021,56246.54795,55398.41644
Jamsil,2022,68604.45479,67452.68219
Jamsil,2023,75863.93151,74984.59726
Jamsil,2024,77513.40511,76142.08759
Jamsilnaru,2019,16122.82192,15709.85479
Jamsilnaru,2020,11297.91803,10946.65301
Jamsilnaru,2021,11284.36712,11018.07945
Jamsilnaru,2022,12424.46301,12108.87397
Jamsilnaru,2023,13856.74521,13460.21918
Jamsilnaru,2024,13894.22263,13500.41606
Jamsilsaenae,2019,24788.67123,25076.75616
Jamsilsaenae,2020,16892.10383,17175.55738
Jamsilsaenae,2021,17137.87123,17252.23836
Jamsilsaenae,2022,19661,19821.90959
Jamsilsaenae,2023,22007.74247,22014.90959
Jamsilsaenae,2024,22989.88321,22681.28832
Sports Complex,2019,13117.27945,14714.98904
Sports Complex,2020,5960.278689,6494.718579
Sports Complex,2021,6105.594521,6604.178082
Sports Complex,2022,10597.24384,11778.58082
Sports Complex,2023,11653.44384,12915.44932
Sports Complex,2024,13537.37226,15018.26642
Chungjeongno,2019,10888.30411,11573.45479
Chungjeongno,2020,8045.300546,8443.371585
Chungjeongno,2021,7843.49863,8221.358904
Chungjeongno,2022,8503.723288,9040.646575
Chungjeongno,2023,9302.246575,9816.591781
Chungjeongno,2024,9335.970803,9831.357664
Hanyang Univ.,2019,11089.42192,12596.25753
Hanyang Univ.,2020,5824.084699,6287.882514
Hanyang Univ.,2021,5892.682192,6227.715068
Hanyang Univ.,2022,9324.128767,10212.1589
Hanyang Univ.,2023,10246.97808,11283.85205
Hanyang Univ.,2024,10019.98905,11023.91241
Hapjeong,2019,33936.53425,36349.04658
Hapjeong,2020,25348.0082,26983.62022
Hapjeong,2021,25653.52329,26949.76712
Hapjeong,2022,29077.60822,31405.41644
Hapjeong,2023,31704.1863,34645.0137
Hapjeong,2024,31655.61314,34354.10949
Hongik Univ.,2019,80760.11781,86698.77534
Hongik Univ.,2020,45874.71038,49000.81148
Hongik Univ.,2021,45350.9726,47221.42466
Hongik Univ.,2022,57408.03288,61095.94247
Hongik Univ.,2023,67687.52877,72685.29863
Hongik Univ.,2024,71032.64964,76525.25182
