역명,Year,승차총승객수,하차총승객수
당산,2023,17175.80548,19854.00548
당산,2024,16730.38686,19299.82482
대림(구로구청),2019,29248.79452,30100.50411
대림(구로구청),2020,21142.58197,21532.81694
대림(구로구청),2021,20443.32877,20985.90411
대림(구로구청),2022,21727.03288,22249.01644
대림(구로구청),2023,23254.34247,23788.64658
대림(구로구청),2024,23336.72263,23833.65693
도림천,2019,1190.227397,1278.578082
도림천,2020,1010.437158,1053.486339
도림천,2021,1121.060274,1152.852055
도림천,2022,1170.09589,1225.306849
도림천,2023,1177.479452,1249.254795
도림천,2024,1230.879562,1307.40146
동대문역사문화공원(DDP),2019,18769.22192,21665.47671
동대문역사문화공원(DDP),2020,10305.38251,11548.68306
동대문역사문화공원(DDP),2021,9772.671233,10931.83836
동대문역사문화공원(DDP),2022,11629.32877,13226.20548
동대문역사문화공원(DDP),2023,13814.33699,15842.45205
동대문역사문화공원(DDP),2024,14310.34672,16391.07664
뚝섬,2019,18829.04932,19918.66849
뚝섬,2020,15850.75956,17010.14208
뚝섬,2021,17453.28493,18617.99452
뚝섬,2022,19597.91233,20811.53973
뚝섬,2023,22110.39178,23235.19452
뚝섬,2024,23422.45255,24276.88686
문래,2019,20022.70959,20285.04384
문래,2020,16372.78415,16796.8306
문래,2021,16768.92603,17204.5589
문래,2022,18567.77534,19148.83836
문래,2023,20119.67397,20759.54247
문래,2024,20962.25547,21641.51825
방배,2019,19743.47671,20257.93151
방배,2020,13500.64481,13937.91803
방배,2021,13459.34521,14110.04658
방배,2022,15128.79452,15707.09589
방배,2023,16009.52877,16543.24932
방배,2024,15402.88321,15844.12409
봉천,2019,25212.96986,23247.10685
봉천,2020,20151.13934,18542.7541
봉천,2021,19859.38082,18516.06301
봉천,2022,21317.8274,19792.85753
봉천,2023,22691.66849,21119.60548
봉천,2024,22926.31022,21464.88686
사당,2019,43723.71507,48056.0274
사당,2020,30996.65574,34146.51366
사당,2021,29860.38082,32628.70959
사당,2022,34885.15616,38374.46301
사당,2023,38153.79178,41871.79452
사당,2024,39226.07664,42100.43431
삼성(무역센터),2019,59817.01918,61138.48767
삼성(무역센터),2020,40438.74317,41238.75137
삼성(무역센터),2021,39636.96986,39988.04932
삼성(무역센터),2022,46045.90959,46240.4411
삼성(무역센터),2023,51323.27671,51417.29041
삼성(무역센터),2024,50680.5146,50873.44161
상왕십리,2019,14512.86575,13831.36712
상왕십리,2020,11197.63115,10742.64754
상왕십리,2021,11582.16712,11248.8411
상왕십리,2022,12629.29315,12218.9726
상왕십리,2023,13539.1726,13080.10137
상왕십리,2024,13665.82117,13363.00365
서울대입구(관악구청),2019,53263.59452,51470.46575
서울대입구(관악구청),2020,40111.61202,38985.62295
서울대입구(관악구청),2021,39528.43836,38862.40274
서울대입구(관악구청),2022,42764.20274,41845.64658
서울대입구(관악구청),2023,44522.36986,43275.71507
서울대입구(관악구청),2024,44091.28467,42814.28102
서초,2019,23450.59452,23292.07397
서초,2020,16912.59016,16648.71858
서초,2021,16898.00274,16241.4
서초,2022,18907.71507,17909.14247
서초,2023,20590.3863,19596.52055
서초,2024,20393.27372,19642.0438
선릉,2019,53999.09315,47991.07397
선릉,2020,42992.5765,38427.32514
선릉,2021,42180.34247,37582.29041
선릉,2022,46278.53425,41034.92603
선릉,2023,50061.82192,44083.05205
선릉,2024,50773.55839,44648.22993
성수,2019,28685.31781,31124.56986
성수,2020,25190.21585,27741.81148
성수,2021,27768.59726,30412.83562
성수,2022,32206.2274,35332.65479
성수,2023,36987.43288,40737.0137
성수,2024,40367.30292,44364.70073
시청,2019,25554.96986,24224.69315
시청,2020,17783.79235,17383.77049
시청,2021,17175.34247,16367.38356
시청,2022,19933.09863,18949.94521
시청,2023,23470.05205,21989.45205
시청,2024,23958.79562,22485.96715
